Id,Uptime,Host,Port,Debug,Emitted,Transferred,Capacity (last 10m),Execute latency (ms),Executed,Process latency (ms),Acked,Failed
[256-256],1m 58s,10.3.0.30,6717,files,80,80,0.215,423.667,60,0,0,0
[257-257],1m 58s,10.3.0.30,6717,files,60,60,0.372,731.667,60,0,0,0
[258-258],1m 58s,10.3.0.30,6717,files,60,60,0.369,726.333,60,0,0,0
[259-259],2m 1s,10.3.0.30,6718,files,60,60,0.39,787,60,0,0,0
[26-26],1m 57s,10.3.0.31,6727,files,60,60,0.366,713.667,60,0,0,0
[260-260],2m 1s,10.3.0.30,6718,files,60,60,0.353,711.333,60,0,0,0
[261-261],2m 1s,10.3.0.30,6718,files,40,40,0.651,1312,60,0,0,0
[262-262],2m 1s,10.3.0.30,6718,files,80,80,0.277,418.75,80,0,0,0
[263-263],2m 1s,10.3.0.30,6718,files,80,80,0.561,848,80,0,0,0
[264-264],2m 1s,10.3.0.30,6718,files,60,60,0.291,440,80,0,0,0
[265-265],2m 1s,10.3.0.30,6718,files,40,40,0.389,785.333,60,0,0,0
[266-266],1m 58s,10.3.0.31,6725,files,40,40,0.146,430,40,0,0,0
[267-267],1m 58s,10.3.0.31,6725,files,60,60,0.448,661.5,80,0,0,0
[268-268],1m 58s,10.3.0.31,6725,files,60,60,0.351,690.333,60,0,0,0
[269-269],1m 58s,10.3.0.31,6725,files,60,60,0.275,812,40,0,0,0
[27-27],1m 57s,10.3.0.31,6727,files,60,60,0.589,861.75,80,0,0,0
[270-270],1m 58s,10.3.0.31,6725,files,60,60,0.218,428,60,0,0,0
[271-271],1m 58s,10.3.0.31,6725,files,60,60,0.387,760.667,60,0,0,0
[272-272],1m 59s,10.3.0.31,6728,files,60,60,0.361,716.667,60,0,0,0
[273-273],1m 59s,10.3.0.31,6728,files,60,60,0.214,424.667,60,0,0,0
[274-274],1m 59s,10.3.0.31,6728,files,40,40,0.214,425.333,60,0,0,0
[275-275],2m 1s,10.3.0.30,6720,files,60,60,0.209,422,60,0,0,0
[276-276],2m 1s,10.3.0.30,6720,files,80,80,0.546,826.5,80,0,0,0
[277-277],2m 1s,10.3.0.30,6720,files,80,80,0.281,424.75,80,0,0,0
[278-278],2m 1s,10.3.0.30,6720,files,60,60,0.352,709.333,60,0,0,0
[279-279],2m 1s,10.3.0.30,6720,files,40,40,0.293,442.75,80,0,0,0
[28-28],1m 58s,10.3.0.31,6726,files,60,60,0.285,420.25,80,0,0,0
[280-280],2m 1s,10.3.0.30,6720,files,80,80,0.349,703.333,60,0,0,0
[281-281],2m 1s,10.3.0.30,6720,files,60,60,0.354,714.667,60,0,0,0
[282-282],1m 59s,10.3.0.30,6719,files,80,80,0.213,423,60,0,0,0
[283-283],2m 1s,10.3.0.30,6720,files,60,60,0.486,980,60,0,0,0
[284-284],1m 59s,10.3.0.30,6719,files,20,20,0.336,667,60,0,0,0
[285-285],1m 59s,10.3.0.30,6719,files,40,40,0.46,1369.5,40,0,0,0
[286-286],1m 59s,10.3.0.30,6719,files,60,60,0.562,835.75,80,0,0,0
[287-287],1m 59s,10.3.0.30,6719,files,60,60,0.364,722.333,60,0,0,0
[288-288],1m 58s,10.3.0.30,6717,files,80,80,0.214,421.333,60,0,0,0
[289-289],1m 58s,10.3.0.30,6717,files,60,60,0.225,442,60,0,0,0
[29-29],1m 58s,10.3.0.31,6726,files,60,60,0.436,643.75,80,0,0,0
[290-290],1m 59s,10.3.0.30,6719,files,60,60,0.464,920,60,0,0,0
[291-291],1m 58s,10.3.0.30,6717,files,40,40,0.461,1359.5,40,0,0,0
[292-292],1m 58s,10.3.0.30,6717,files,60,60,0.219,431,60,0,0,0
[293-293],2m 3s,10.3.0.35,6742,files,80,80,0.276,423.75,80,0,0,0
[294-294],1m 57s,10.3.0.31,6727,files,60,60,0.371,723.333,60,0,0,0
[295-295],1m 58s,10.3.0.25,6736,files,80,80,0.214,421,60,0,0,0
[296-296],1m 58s,10.3.0.25,6736,files,60,60,0.285,420.5,80,0,0,0
[297-297],2m 3s,10.3.0.35,6742,files,60,60,0.315,645,60,0,0,0
[298-298],1m 57s,10.3.0.31,6727,files,80,80,0.219,426.667,60,0,0,0
[299-299],1m 57s,10.3.0.31,6727,files,40,40,0.147,430.5,40,0,0,0
[3-3],2m 3s,10.3.0.35,6742,files,80,80,0.206,422.667,60,0,0,0
[30-30],1m 58s,10.3.0.31,6726,files,60,60,2.036,4004.667,60,0,0,0
[300-300],1m 57s,10.3.0.31,6727,files,60,60,0.295,863,40,0,0,0
[301-301],1m 57s,10.3.0.31,6727,files,60,60,0.411,801.667,60,0,0,0
[302-302],1m 58s,10.3.0.31,6726,files,80,80,0.374,735.333,60,0,0,0
[303-303],1m 58s,10.3.0.31,6726,files,60,60,0.366,719.667,60,0,0,0
[304-304],1m 58s,10.3.0.31,6726,files,40,40,0.279,822.5,40,0,0,0
[305-305],1m 58s,10.3.0.31,6726,files,80,80,0.44,648.75,80,0,0,0
[306-306],1m 58s,10.3.0.31,6726,files,60,60,0.221,433.667,60,0,0,0
[307-307],1m 59s,10.3.0.31,6728,files,60,60,0.357,707.667,60,0,0,0
[308-308],1m 59s,10.3.0.31,6728,files,80,80,0.444,660,80,0,0,0
[309-309],1m 58s,10.3.0.31,6726,files,40,40,0.523,1028.667,60,0,0,0
[31-31],1m 58s,10.3.0.31,6726,files,60,60,0.223,438,60,0,0,0
[310-310],1m 59s,10.3.0.31,6728,files,60,60,0.365,723.333,60,0,0,0
[311-311],1m 59s,10.3.0.25,6733,files,60,60,0.351,695.667,60,0,0,0
[312-312],2m 3s,10.3.0.35,6742,files,60,60,0.137,420.5,40,0,0,0
[313-313],2m 3s,10.3.0.35,6742,files,80,80,0.204,419,60,0,0,0
[314-314],1m 59s,10.3.0.22,6709,files,0,0,0,0,0,0,0,0
[315-315],1m 59s,10.3.0.22,6709,files,0,0,0,0,0,0,0,0
[316-316],1m 57s,10.3.0.25,6734,files,20,20,0.222,433.667,60,0,0,0
[317-317],1m 57s,10.3.0.25,6734,files,60,60,0.355,693,60,0,0,0
[318-318],1m 57s,10.3.0.25,6734,files,60,60,0.391,762.333,60,0,0,0
[319-319],1m 57s,10.3.0.25,6734,files,60,60,0.502,978.333,60,0,0,0
